,White_Age0_14_MaleRate,White_Age15_24_MaleRate,White_Age25_44_MaleRate,White_Age45_64_MaleRate,White_Age65Plus_MaleRate
584,,,,,13.01
585,,,,,
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
603,,,,,
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,,,,,
610,,,,,22.7
611,,,,,
612,,,,,
613,,,,,
614,,,,,
615,,,,,
616,,,,,
617,,,,,
618,,,,,
619,,,,,
620,,,,,
621,,,,,
622,,,,,
623,,,,,
624,,,,,
625,,,,,
626,,,,,
627,,,,,
628,,,,,
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,19.39
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,,,,,
653,,,,,
654,,,,,
655,,,,,
656,,,,,
657,,,,,7.12
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,,,,,
667,,,,,
668,,,,,
669,,,,,
670,,,,,
671,,,,,
672,,,,,
673,,,,,
674,,,,,
675,,,,,
676,,,,,
677,,,,,
678,,,,,
679,,,,,
680,,,,,
681,,,,,
682,,,,,
683,,,,,
684,,,,,
685,,,,,
686,,,,,
687,,,,,
688,,,,,
689,,,,,
690,,,,,
691,,,,,
692,,,,,
693,,,,,
694,,,,,
695,,,,,
696,,,,,
697,,,,,
698,,,,,
699,,,,,
700,,,,,
701,,,,,
702,,,,,
703,,,,,
704,,,,,
705,,,,,
706,,,,,
707,,,,,
708,,,,,
709,,,,,
710,,,,,
711,,,,,
712,,,,,
713,,,,,
714,,,,,
715,,,,,
716,,,,,
717,,,,,
718,,,,,
719,,,,,
720,,,,,
721,,,,,
722,,,,,
723,,,,,
724,,,,,
725,,,,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,7.37
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,12.72
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,23.16
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,,,,,
832,,,,,
833,,,,,
834,,,,,
835,,,,,
836,,,,,
837,,,,,
838,,,,,
839,,,,,
840,,,,,
841,,,,,
842,,,,,
843,,,,,
844,,,,,
845,,,,,
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,,,,,20.83
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,,,,,
860,,,,,
861,,,,,
862,,,,,
863,,,,,
864,,,,,
865,,,,,
866,,,,,
867,,,,,
868,,,,,
869,,,,,
870,,,,,18.7
871,,,,,
872,,,,,
873,,,,,
874,,,,,
875,,,,,
876,,,,,14.22
877,,,,,
878,,,,,
879,,,,,
880,,,,,
881,,,,,
882,,,,,
883,,,,,
884,,,,,
885,,,,,
886,,,,,
887,,,,,
888,,,,,
889,,,,,
890,,,,,
891,,,,,
892,,,,,
893,,,,,
894,,,,,28.09
895,,,,,
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,,,,,
904,,,,,
905,,,,,
906,,,,,
907,,,,,
908,,,,,
909,,,,,
910,,,,,
911,,,,,
912,,,,,
913,,,,,
914,,,,,
915,,,,,
916,,,,,
917,,,,,
918,,,,,
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,18.49
927,,,,,
928,,,,,30.72
929,,,,,
930,,,,,
931,,,,,
932,,,,,
933,,,,,
934,,,,,
935,,,,,
936,,,,,
937,,,,,
938,,,,,
939,,,,,
940,,,,,
941,,,,,
942,,,,,
943,,,,,22.08
944,,,,,
945,,,,,
946,,,,,
947,,,,,
948,,,,,
949,,,,,12.72
950,,,,,
951,,,,,
952,,,,,
953,,,,,
954,,,,,
955,,,,,
956,,,,,
957,,,,,
958,,,,,
959,,,,,
960,,,,,
961,,,,,
962,,,,,
963,,,,,
964,,,,,
965,,,,,
966,,,,,
967,,,,,
968,,,,,
969,,,,,
970,,,,,
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,,,,,26.59
976,,,,,
977,,,,,
978,,,,,
979,,,,,
980,,,,,
981,,,,,
982,,,,,
983,,,,,
984,,,,,
985,,,,,
986,,,,,
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,,,,,
995,,,,,
996,,,,,
997,,,,,
998,,,,,
999,,,,,
1000,,,,,28.31
1001,,,,,
1002,,,,,
1003,,,,,
1004,,,,,
1005,,,,,
1006,,,,,
1007,,,,,
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,15.06
1017,,,,,
1018,,,,,
1019,,,,,
1020,,,,,
1021,,,,,
1022,,,,82.61,155.01
1023,,,,65.72,146.49
1024,,,,56.5,165.2
1025,,,,88.16,156.59
1026,,,,,
1027,,,,76.49,143.38
1028,,,,,
1029,,,,42.62,172.02
1030,,,,,
1031,,,,43.89,168.23
1032,,,,,
1033,,,,103.2,
1034,,,,,
1035,,,,,147.6
1036,,,,,
1037,,,,,
1038,,,,173.42,
1039,,,,,148.71
1040,,,,97.94,130.5
1041,,,,133.77,142.47
1042,,,,68.38,171.68
1043,,,,,163.43
1044,,,,91.3,68.04
1045,,,,,
1046,,,,,131.24
1047,,,,160.82,
1048,,,,83.56,176.0
1049,,,,56.51,153.12
1050,,,,108.76,133.97
1051,,,,,
1052,,,,92.99,223.63
1053,,,,89.29,196.26
1054,,,,78.74,179.46
1055,,,,,
1056,,,,98.01,168.26
1057,,,,,165.48
1058,,,,56.73,159.27
1059,,,,,
1060,,,,,
1061,,,,129.46,301.73
1062,,,,134.67,
1063,,,,106.73,191.34
1064,,,,,
1065,,,,82.89,139.03
1066,,,,,
1067,,,,,
1068,,,,,
1069,,,,,
1070,,,,,167.21
1071,,,,85.75,134.41
1072,,,,79.79,150.26
1073,,,,86.81,184.99
1074,,,,85.68,124.57
1075,,,,77.24,166.85
1076,,,,51.11,154.47
1077,,,,,154.51
1078,,,,,
1079,,,,,
1080,,,,,180.71
1081,,,,108.37,256.34
1082,,,,94.55,152.7
1083,,,,,
1084,,,,104.41,
1085,,,,,
1086,,,,,
1087,,,,108.53,134.92
1088,,,,101.81,277.3
1089,,,,82.82,142.85
1090,,,,111.4,221.68
1091,,,,178.78,
1092,,,,,
1093,,,,98.06,173.51
1094,,,,61.73,152.33
1095,,,,84.91,173.69
1096,,,,102.34,150.83
1097,,,,119.73,160.11
1098,,,,80.85,181.37
1099,,,,119.64,
1100,,,,57.28,182.35
1101,,,,,
1102,,,,60.45,185.31
1103,,,,,
1104,,,,57.4,183.77
1105,,,,,
1106,,,,,
1107,,,,,
1108,,,,86.61,210.4
1109,,,,,
1110,,,,,
1111,,,,,
1112,,,,,216.74
1113,,,,73.12,182.95
1114,,,,90.39,212.42
1115,,,,45.74,139.25
1116,,,,68.63,232.65
1117,,,,58.69,82.97
1118,,,,,
1119,,,,158.07,217.33
1120,,,,,204.02
1121,,,,118.77,185.38
1122,,,,84.84,253.52
1123,,,,164.06,99.96
1124,,,,,
1125,,,,103.96,158.84
1126,,,,159.67,216.74
1127,,,,85.48,168.71
1128,,,,,
1129,,,,104.65,174.09
1130,,,,,217.23
1131,,,,81.24,117.61
1132,,,,,
1133,,,,,
1134,,,,86.22,238.86
1135,,,,,232.78
1136,,,,72.8,241.29
1137,,,,,
1138,,,,76.02,138.89
1139,,,,,
1140,,,,,
1141,,,,,
1142,,,,,
1143,,,,116.42,179.81
1144,,,,79.62,140.16
1145,,,,65.9,191.52
1146,,,,74.9,169.95
1147,,,,98.71,153.25
1148,,,,108.53,187.66
1149,,,,76.56,267.79
1150,,,,84.87,146.6
1151,,,,,
1152,,,,,
1153,,,,67.14,187.96
1154,,,,122.86,170.91
1155,,,,108.69,179.77
1156,,,,,
1157,,,,,
1158,,,,,
1159,,,,,
1160,,,,162.74,89.47
1161,,,,108.15,167.62
1162,,,,79.28,170.66
1163,,,,,228.04
1164,,,,,
1165,,,,,
1166,,,,157.99,264.93
1167,,,,72.54,199.64
1168,,,,81.13,155.04
1169,,,,68.91,138.31
1170,,,,53.57,187.58
1171,,,,87.94,
1172,,,,,
1173,,,,84.52,120.57
1174,,,,,
1175,,,,149.75,105.93
1176,,,,,
1177,,,,143.41,105.29
1178,,,,,
1179,,,,,
1180,,,,,
1181,,,,,
1182,,,,,
1183,,,,,
1184,,,,,212.66
1185,,,,78.1,
1186,,,,97.19,196.01
1187,,,,91.29,214.62
1188,,,,79.38,
1189,,,,157.95,304.05
1190,,,,96.65,142.1
1191,,,,,
1192,,,,77.89,174.15
1193,,,,,241.94
1194,,,,92.16,179.51
1195,,,,76.4,222.68
1196,,,,63.32,153.55
1197,,,,,
1198,,,,123.48,223.85
1199,,,,121.76,
1200,,,,63.17,135.51
1201,,,,,
1202,,,,83.13,120.34
1203,,,,,
1204,,,,88.55,147.42
1205,,,,,
1206,,,,,
1207,,,,48.68,246.21
1208,,,,,
1209,,,,,174.53
1210,,,,,
1211,,,,64.65,134.69
1212,,,,,
1213,,,,,
1214,,,,,
1215,,,,144.57,
1216,,,,,172.63
1217,,,,58.02,131.75
1218,,,,91.06,137.75
1219,,,,87.16,182.88
1220,,,,86.34,165.47
1221,,,,67.5,149.82
1222,,,,76.12,231.76
1223,,,,,170.91
1224,,,,,
1225,,,,,
1226,,,,162.57,104.83
1227,,,,107.99,197.14
1228,,,,87.08,127.43
1229,,,,,
1230,,,,,
1231,,,,,
1232,,,,,
1233,,,,59.23,155.68
1234,,,,,252.43
1235,,,,87.86,173.03
1236,,,,,163.71
1237,,,,,219.55
1238,,,,,
1239,,,,135.57,129.99
1240,,,,64.52,105.48
1241,,,,70.55,139.23
1242,,,,68.92,116.6
1243,,,,79.96,150.67
1244,,,,,
1245,,,,,
1246,,,,64.64,152.39
1247,,,,,
1248,,,,67.1,83.99
1249,,,,,
1250,,,,68.63,84.45
1251,,,,,
1252,,,,,319.9
1253,,,,,
1254,,,,96.83,
1255,,,,,
1256,,,,,
1257,,,,,
1258,,,,,140.34
1259,,,,62.56,194.9
1260,,,,94.82,
1261,,,,56.15,181.83
1262,,,,76.75,180.79
1263,,,,,205.77
1264,,,,,
1265,,,,85.85,314.77
1266,,,,,
1267,,,,84.24,116.91
1268,,,,112.19,160.21
1269,,,,44.25,
1270,,,,,
1271,,,,92.75,137.26
1272,,,,,
1273,,,,76.35,107.55
1274,,,,,
1275,,,,106.28,146.67
1276,,,,,
1277,,,,48.95,112.05
1278,,,,,
1279,,,,,
