,White_Age0_14_MaleRate,White_Age15_24_MaleRate,White_Age25_44_MaleRate,White_Age45_64_MaleRate,White_Age65Plus_MaleRate,White_Total_MaleRate
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,191.07,36.5
139,,,,,,
140,,,,7.99,139.2,22.93
141,,,,,173.1,30.97
142,,,,,241.21,42.14
143,,,,,,
144,,,,,260.6,44.78
145,,,,12.41,199.67,40.13
146,,,,5.83,168.49,28.9
147,,,,,147.53,19.52
148,,,,,140.97,19.34
149,,,,,141.99,19.04
150,,,,,,
151,,,,11.74,198.08,37.14
152,,,,,,
153,,,,,122.35,26.08
154,,,,,,
155,,,,,117.66,25.94
156,,,,,536.29,101.86
157,,,,,338.32,57.21
158,,,,,,
159,,,,,268.43,50.67
160,,,,,,
161,,,,,,
162,,,,,259.74,37.62
163,,,,,132.62,23.71
164,,,,,177.86,26.64
165,,,,,214.62,32.78
166,,,,,139.29,17.39
167,,,,,185.99,34.03
168,,,,,215.72,32.9
169,,,,,,
170,,,,,151.41,23.38
171,,,,,,
172,,,,,167.8,29.22
173,,,,,146.85,25.33
174,,,,,163.87,34.47
175,,,,,,
176,,,,,220.05,43.75
177,,,,,,
178,,,,,159.83,32.24
179,,,,,,
180,,,,,154.72,32.86
181,,,,,193.81,50.83
182,,,,,161.87,26.34
183,,,,,,
184,,,,,,
185,,,,,235.54,39.78
186,,,,,,
187,,,,,160.92,31.62
188,,,,,,
189,,,,,125.07,21.49
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,114.66,18.12
196,,,,10.18,182.69,34.86
197,,,,,169.68,28.43
198,,,,,188.57,27.72
199,,,,,157.76,28.96
200,,,,,150.34,24.43
201,,,,,152.02,27.69
202,,,,,,
203,,,,,,
204,,,,,135.68,27.77
205,,,,,221.79,37.81
206,,,,,133.66,28.44
207,,,,,,
208,,,,,348.3,58.58
209,,,,,,
210,,,,,,
211,,,,,168.89,36.29
212,,,,,216.37,36.92
213,,,,,169.98,25.21
214,,,,,204.53,39.39
215,,,,,255.88,36.6
216,,,,,,
217,,,,,,
218,,,,12.24,153.83,30.46
219,,,,6.66,162.98,27.42
220,,,,,126.31,17.5
221,,,,,93.37,15.71
222,,,,,183.24,22.32
223,,,,,,
224,,,,,152.39,27.57
225,,,,,,
226,,,,,218.26,37.47
227,,,,,,
228,,,,,203.13,34.86
229,,,,,,
230,,,,,232.27,44.14
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,174.85,31.84
237,,,,,194.9,28.28
238,,,,,130.98,22.09
239,,,,,,
240,,,,,147.58,26.48
241,,,,,365.2,54.48
242,,,,,,
243,,,,,145.49,17.99
244,,,,,206.87,35.37
245,,,,,120.94,20.98
246,,,,,135.99,24.62
247,,,,,102.08,18.65
248,,,,,,
249,,,,,114.89,23.27
250,,,,,124.8,24.55
251,,,,10.32,179.24,35.97
252,,,,,,
253,,,,,100.76,22.35
254,,,,,,
255,,,,,297.45,47.13
256,,,,,,
257,,,,,,
258,,,,,255.97,40.69
259,,,,,,
260,,,,,272.48,57.89
261,,,,,,
262,,,,,197.71,33.72
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,170.88,26.97
268,,,,,187.35,28.44
269,,,,8.31,161.36,29.43
270,,,,,143.67,23.26
271,,,,,194.73,28.6
272,,,,10.53,147.1,27.7
273,,,,,135.11,23.84
274,,,,,129.75,23.16
275,,,,,,
276,,,,,,
277,,,,,245.21,41.81
278,,,,,,
279,,,,,96.87,20.84
280,,,,,,
281,,,,,228.97,43.59
282,,,,,,
283,,,,,,
284,,,,,105.97,19.38
285,,,,,267.38,42.7
286,,,,,187.4,27.24
287,,,,,286.95,61.3
288,,,,,,
289,,,,,,
290,,,,,,22.75
291,,,,,140.5,25.95
292,,,,6.15,189.93,30.59
293,,,,,184.28,23.78
294,,,,,199.91,23.83
295,,,,,188.71,25.84
296,,,,,,
297,,,,,154.25,26.76
298,,,,,,
299,,,,,116.49,18.36
300,,,,,,
301,,,,,111.75,17.61
302,,,,,,
303,,,,,316.65,51.26
304,,,,,,
305,,,,,,23.85
306,,,,,,
307,,,,,,
308,,,,,,30.97
309,,,,,,27.63
310,,,,,204.62,29.44
311,,,,,149.31,21.97
312,,,,,192.08,20.88
313,,,,,244.56,46.57
314,,,,,198.63,30.29
315,,,,,,
316,,,,,313.98,39.8
317,,,,,182.4,29.78
318,,,,,216.17,34.4
319,,,,,114.7,17.83
320,,,,,274.35,54.05
321,,,,,,
322,,,,,217.77,36.53
323,,,,,232.3,37.63
324,,,,,181.29,34.53
325,,,,,,
326,,,,,187.25,36.18
327,,,,,142.85,42.73
328,,,,,204.4,34.5
329,,,,,,
330,,,,,,
331,,,,,197.9,29.8
332,,,,,,
333,,,,,205.0,34.56
334,,,,,,
335,,,,,194.08,32.58
336,,,,,308.35,66.18
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,219.75,33.92
341,,,,,204.29,30.5
342,,,,10.44,172.03,30.76
343,,,,,194.37,29.79
344,,,,,195.55,27.89
345,,,,,194.89,33.83
346,,,,,90.47,13.45
347,,,,,264.43,46.53
348,,,,,,
349,,,,,,
350,,,,,125.99,19.95
351,,,,,248.43,38.1
352,,,,,173.35,33.7
353,,,,,,
354,,,,,318.84,51.32
355,,,,,,
356,,,,,,
357,,,,,283.39,55.91
358,,,,,,
359,,,,5.24,199.39,28.64
360,,,,,237.72,39.55
361,,,,,,31.06
362,,,,,,
363,,,,,216.27,33.72
364,,,,10.74,136.6,25.49
365,,,,6.52,155.57,24.54
366,,,,,87.15,13.39
367,,,,,,
368,,,,,170.6,19.43
369,,,,,,
370,,,,,167.41,25.36
371,,,,,,
372,,,,,172.61,25.91
373,,,,,,
374,,,,,172.39,25.71
375,,,,,,
376,,,,,,27.71
377,,,,,,
378,,,,,278.29,36.03
379,,,,,,
380,,,,,,
381,,,,,227.92,26.71
382,,,,,170.91,28.98
383,,,,,180.56,26.39
384,,,,,153.0,24.59
385,,,,,,
386,,,,,101.38,21.46
387,,,,,202.32,31.05
388,,,,,,
389,,,,,339.77,40.55
390,,,,,289.06,48.59
391,,,,,151.66,23.99
392,,,,,153.82,23.65
393,,,,,211.42,40.66
394,,,,,,
395,,,,,118.11,21.72
396,,,,,,
397,,,,,159.31,28.11
398,,,,,,
399,,,,,155.46,29.44
400,,,,,,
