,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate
293,,,,,,,6.0,10.75,27.0,132.79
294,,,,,,,,,13.0,154.99
295,,,,,,,,,7.0,122.04
296,,,,,,,,,9.0,125.26
297,,,,,,,5.0,8.02,41.0,152.26
298,,,,,,,,,,
299,,,,,,,,,7.0,95.85
300,,,,,,,,,,
301,,,,,,,,,7.0,91.94
302,,,,,,,,,,
303,,,,,,,,,11.0,308.09
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,,,,,,,,,,
308,,,,,,,,,5.0,170.97
309,,,,,,,,,7.0,163.05
310,,,,,,,,,60.0,180.1
311,,,,,,,,,7.0,132.22
312,,,,,,,,,12.0,166.81
313,,,,,,,,,13.0,209.87
314,,,,,,,,,13.0,154.65
315,,,,,,,,,,
316,,,,,,,,,11.0,309.23
317,,,,,,,,,6.0,183.9
318,,,,,,,,,55.0,183.83
319,,,,,,,,,8.0,112.3
320,,,,,,,,,19.0,211.83
321,,,,,,,,,,
322,,,,,,,,,13.0,189.0
323,,,,,,,,,10.0,196.11
324,,,,,,,8.0,10.51,52.0,149.83
325,,,,,,,,,,
326,,,,,,,,,15.0,164.28
327,,,,,,,,,6.0,142.33
328,,,,,,,,,10.0,154.91
329,,,,,,,,,,
330,,,,,,,,,,
331,,,,,,,,,8.0,159.6
332,,,,,,,,,,
333,,,,,,,,,8.0,156.14
334,,,,,,,,,,
335,,,,,,,,,43.0,191.11
336,,,,,,,,,17.0,283.76
337,,,,,,,,,,
338,,,,,,,,,5.0,181.67
339,,,,,,,,,7.0,119.79
340,,,,,,,,,12.0,209.38
341,,,,,,,6.0,8.7,50.0,183.27
342,,,,,,,8.0,9.73,60.0,159.51
343,,,,,,,,,56.0,166.63
344,,,,,,,,,52.0,158.44
345,,,,,,,6.0,7.67,60.0,165.05
346,,,,,,,,,6.0,90.87
347,,,,,,,,,28.0,245.45
348,,,,,,,,,,
349,,,,,,,,,,
350,,,,,,,,,6.0,103.18
351,,,,,,,,,9.0,215.0
352,,,,,,,,,12.0,154.09
353,,,,,,,,,,
354,,,,,,,,,11.0,310.0
355,,,,,,,,,,
356,,,,,,,,,5.0,182.4
357,,,,,,,,,22.0,222.08
358,,,,,,,,,,
359,,,,,,,10.0,6.64,105.0,159.05
360,,,,,,,,,8.0,181.77
361,,,,,,,,,5.0,172.68
362,,,,,,,,,,
363,,,,,,,,,8.0,179.42
364,,,,,,,6.0,10.28,40.0,135.67
365,,,,,,,27.0,7.06,240.0,150.74
366,,,,,,,6.0,10.93,22.0,113.9
367,,,,,,,,,5.0,65.48
368,,,,,,,,,9.0,147.72
369,,,,,,,,,9.0,141.49
370,,,,,,,,,40.0,157.69
371,,,,,,,,,,
372,,,,,,,,,10.0,143.16
373,,,,,,,,,,
374,,,,,,,,,11.0,143.93
375,,,,,,,,,,
376,,,,,,,,,5.0,144.63
377,,,,,,,,,,
378,,,,,,,,,8.0,267.05
379,,,,,,,,,,
380,,,,,,,,,,
381,,,,,,,,,5.0,193.39
382,,,,,,,,,8.0,189.55
383,,,,,,,,,51.0,160.22
384,,,,,,,,,7.0,137.02
385,,,,,,,,,6.0,85.91
386,,,,,,,,,5.0,86.12
387,,,,,,,,,13.0,161.63
388,,,,,,,,,,
389,,,,,,,,,11.0,308.54
390,,,,,,,,,9.0,277.8
391,,,,,,,5.0,7.78,41.0,143.84
392,,,,,,,,,10.0,133.36
393,,,,,,,,,17.0,192.05
394,,,,,,,,,,
395,,,,,,,,,7.0,105.48
396,,,,,,,,,7.0,144.74
397,,,,,,,,,56.0,171.04
398,,,,,,,,,,
399,,,,,,,,,15.0,173.17
400,,,,,,,,,,
401,,,,,,,,,10.0,165.58
402,,,,,,,,,,
403,,,,,,,,,,
404,,,,,,,,,6.0,120.05
405,,,,,,,,,,
406,,,,,,,,,12.0,267.91
407,,,,,,,,,,
408,,,,,,,,,30.0,139.81
409,,,,,,,,,8.0,133.9
410,,,,,,,,,,
411,,,,,,,,,5.0,192.41
412,,,,,,,,,12.0,215.26
413,,,,,,,,,5.0,89.29
414,,,,,,,5.0,7.42,37.0,143.1
415,,,,,,,,,54.0,151.36
416,,,,,,,6.0,7.46,42.0,131.8
417,,,,,,,7.0,9.32,46.0,146.37
418,,,,,,,5.0,6.71,61.0,177.25
419,,,,,,,,,8.0,124.98
420,,,,,,,,,12.0,113.7
421,,,,,,,,,,
422,,,,,,,,,,
423,,,,,,,,,8.0,149.96
424,,,,,,,,,,
425,,,,,,,,,12.0,159.05
426,,,,,,,,,,
427,,,,,,,,,5.0,139.36
428,,,,,,,,,,
429,,,,,,,,,5.0,190.61
430,,,,,,,,,18.0,190.56
431,,,,,,,,,,
432,,,,,,,11.0,7.05,92.0,146.68
433,,,,,,,,,13.0,297.62
434,,,,,,,,,5.0,188.41
435,,,,,,,,,,
436,,,,,,,,,6.0,131.07
437,,,,,,,,,47.0,168.38
438,,,,,,,37.0,9.8,250.0,161.73
439,,,,,,,,,31.0,166.23
440,,,,,,,,,9.0,116.99
441,,,,,,,,,8.0,138.12
442,,,,,,,,,15.0,238.98
443,,,,,,,6.0,9.65,37.0,151.23
444,,,,,,,,,,
445,,,,,,,,,7.0,103.37
446,,,,,,,,,,
447,,,,,,,,,8.0,106.3
448,,,,,,,,,,
449,,,,,,,,,9.0,275.14
450,,,,,,,,,,
451,,,,,,,,,5.0,165.09
452,,,,,,,,,,
453,,,,,,,,,,
454,,,,,,,,,,
455,,,,,,,,,5.0,114.3
456,,,,,,,7.0,9.96,56.0,180.65
457,,,,,,,,,13.0,255.78
458,,,,,,,,,7.0,112.09
459,,,,,,,,,10.0,175.82
460,,,,,,,,,11.0,136.94
461,,,,,,,,,,
462,,,,,,,,,10.0,288.69
463,,,,,,,,,7.0,224.6
464,,,,,,,8.0,12.54,43.0,155.53
465,,,,,,,,,13.0,185.71
466,,,,,,,,,12.0,141.94
467,,,,,,,,,,
468,,,,,,,,,14.0,220.78
469,,,,,,,,,,
470,,,,,,,11.0,14.74,51.0,160.21
471,,,,,,,,,,
472,,,,,,,,,10.0,117.7
473,,,,,,,,,7.0,194.21
474,,,,,,,,,9.0,161.43
475,,,,,,,,,,
476,,,,,,,,,,
477,,,,,,,,,6.0,129.08
478,,,,,,,,,5.0,265.14
479,,,,,,,,,9.0,208.48
480,,,,,,,,,,
481,,,,,,,,,32.0,152.5
482,,,,,,,,,12.0,210.43
483,,,,,,,,,,
484,,,,,,,,,,
485,,,,,,,,,5.0,91.87
486,,,,,,,,,7.0,143.23
487,,,,,,,,,41.0,161.83
488,,,,,,,8.0,9.65,57.0,164.88
489,,,,,,,13.0,16.0,45.0,147.68
490,,,,,,,7.0,9.54,56.0,181.48
491,,,,,,,7.0,9.57,52.0,153.21
492,,,,,,,,,12.0,193.92
493,,,,,,,,,18.0,176.84
494,,,,,,,,,,
495,,,,,,,,,,
496,,,,,,,,,5.0,101.45
497,,,,,,,,,8.0,214.82
498,,,,,,,,,7.0,99.37
499,,,,,,,,,,
500,,,,,,,,,9.0,276.91
501,,,,,,,,,,
502,,,,,,,,,,
503,,,,,,,,,13.0,141.04
504,,,,,,,,,,
505,,,,,,,14.0,8.84,100.0,164.13
506,,,,,,,,,10.0,239.04
507,,,,,,,,,,
508,,,,,,,,,,
509,,,,,,,,,,
510,,,,,,,6.0,10.36,41.0,152.74
511,,,,,,,8.0,1.99,24.0,11.67
512,,,,,,,,,5.0,18.56
513,,,,,,,,,,
514,,,,,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,,,,,,,,,,
519,,,,,,,,,,
520,,,,,,,,,,
521,,,,,,,,,,
522,,,,,,,,,,
523,,,,,,,,,,
524,,,,,,,,,,
525,,,,,,,,,,
526,,,,,,,,,,
527,,,,,,,,,,
528,,,,,,,,,,
529,,,,,,,,,5.0,11.59
530,,,,,,,,,,
531,,,,,,,,,,
532,,,,,,,,,,
533,,,,,,,,,,
534,,,,,,,,,,
535,,,,,,,,,,
536,,,,,,,,,,
537,,,,,,,,,,
538,,,,,,,,,,
539,,,,,,,,,,
540,,,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,
543,,,,,,,,,,
544,,,,,,,,,,
545,,,,,,,,,,
546,,,,,,,,,,
547,,,,,,,,,,
548,,,,,,,,,,
549,,,,,,,,,,
550,,,,,,,,,,
551,,,,,,,,,,
552,,,,,,,,,,
553,,,,,,,,,,
554,,,,,,,,,5.0,20.07
555,,,,,,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
558,,,,,,,,,,
559,,,,,,,,,,
560,,,,,,,,,5.0,16.79
561,,,,,,,5.0,6.05,8.0,18.35
562,,,,,,,,,,
563,,,,,,,,,8.0,17.32
564,,,,,,,,,,
565,,,,,,,,,,
566,,,,,,,,,,
567,,,,,,,,,,
568,,,,,,,,,,
569,,,,,,,,,,
570,,,,,,,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,,,,
577,,,,,,,,,,
578,,,,,,,,,13.0,15.13
579,,,,,,,,,,
580,,,,,,,,,,
581,,,,,,,,,,
582,,,,,,,,,,
583,,,,,,,,,5.0,14.34
584,,,,,,,6.0,1.51,26.0,13.68
585,,,,,,,,,,
586,,,,,,,,,,
587,,,,,,,,,,
588,,,,,,,,,,
589,,,,,,,,,,
590,,,,,,,,,,
591,,,,,,,,,,
592,,,,,,,,,,
593,,,,,,,,,,
594,,,,,,,,,,
595,,,,,,,,,,
596,,,,,,,,,,
597,,,,,,,,,,
598,,,,,,,,,,
599,,,,,,,,,,
600,,,,,,,,,,
601,,,,,,,,,,
602,,,,,,,,,,
603,,,,,,,,,,
604,,,,,,,,,,
605,,,,,,,,,,
606,,,,,,,,,,
607,,,,,,,,,,
608,,,,,,,,,,
609,,,,,,,,,,
610,,,,,,,,,7.0,20.71
611,,,,,,,,,,
612,,,,,,,,,,
613,,,,,,,,,,
614,,,,,,,,,,
615,,,,,,,,,,
616,,,,,,,,,,
617,,,,,,,,,,
618,,,,,,,,,,
619,,,,,,,,,,
620,,,,,,,,,,
621,,,,,,,,,,
622,,,,,,,,,,
623,,,,,,,,,,
624,,,,,,,,,,
625,,,,,,,,,,
626,,,,,,,,,,
627,,,,,,,,,6.0,23.8
628,,,,,,,,,,
629,,,,,,,,,,
630,,,,,,,,,,
631,,,,,,,,,,
632,,,,,,,,,,
633,,,,,,,,,7.0,21.48
634,,,,,,,,,,
635,,,,,,,,,,
636,,,,,,,,,5.0,14.64
637,,,,,,,,,9.0,22.31
638,,,,,,,,,,
639,,,,,,,,,,
640,,,,,,,,,,
641,,,,,,,,,,
642,,,,,,,,,,
643,,,,,,,,,,
644,,,,,,,,,,
645,,,,,,,,,,
646,,,,,,,,,,
647,,,,,,,,,,
648,,,,,,,,,,
649,,,,,,,,,,
650,,,,,,,,,,
651,,,,,,,,,8.0,10.69
652,,,,,,,,,,
653,,,,,,,,,,
654,,,,,,,,,,
655,,,,,,,,,,
656,,,,,,,,,,
657,,,,,,,,,19.0,10.42
