,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate
899,,,,,,,,,,
900,,,,,,,,,,
901,,,,,,,,,,
902,,,,,,,,,5.0,17.54
903,,,,,,,,,,
904,,,,,,,,,,
905,,,,,,,,,,
906,,,,,,,,,,
907,,,,,,,,,,
908,,,,,,,,,,
909,,,,,,,,,,
910,,,,,,,,,,
911,,,,,,,,,,
912,,,,,,,,,,
913,,,,,,,,,,
914,,,,,,,,,,
915,,,,,,,,,,
916,,,,,,,,,,
917,,,,,,,,,,
918,,,,,,,,,,
919,,,,,,,,,,
920,,,,,,,,,,
921,,,,,,,,,,
922,,,,,,,,,,
923,,,,,,,,,,
924,,,,,,,,,,
925,,,,,,,,,,
926,,,,,,,,,5.0,14.97
927,,,,,,,,,,
928,,,,,,,,,8.0,24.31
929,,,,,,,,,5.0,14.5
930,,,,,,,,,,
931,,,,,,,,,,
932,,,,,,,,,,
933,,,,,,,,,,
934,,,,,,,,,,
935,,,,,,,,,,
936,,,,,,,,,,
937,,,,,,,,,,
938,,,,,,,,,,
939,,,,,,,,,,
940,,,,,,,,,,
941,,,,,,,,,,
942,,,,,,,,,,
943,,,,,,,,,11.0,17.51
944,,,,,,,,,,
945,,,,,,,,,,
946,,,,,,,,,,
947,,,,,,,,,,
948,,,,,,,,,,
949,,,,,,,,,21.0,13.59
950,,,,,,,,,,
951,,,,,,,,,,
952,,,,,,,,,,
953,,,,,,,,,,
954,,,,,,,,,,
955,,,,,,,,,,
956,,,,,,,,,,
957,,,,,,,,,,
958,,,,,,,,,,
959,,,,,,,,,,
960,,,,,,,,,,
961,,,,,,,,,,
962,,,,,,,,,,
963,,,,,,,,,,
964,,,,,,,,,,
965,,,,,,,,,,
966,,,,,,,,,,
967,,,,,,,,,5.0,16.13
968,,,,,,,,,,
969,,,,,,,,,,
970,,,,,,,,,,
971,,,,,,,,,,
972,,,,,,,,,,
973,,,,,,,,,,
974,,,,,,,,,,
975,,,,,,,,,11.0,39.79
976,,,,,,,,,,
977,,,,,,,,,,
978,,,,,,,,,,
979,,,,,,,,,8.0,129.38
980,,,,,,,,,,
981,,,,,,,,,,
982,,,,,,,,,,
983,,,,,,,,,,
984,,,,,,,,,,
985,,,,,,,,,,
986,,,,,,,,,,
987,,,,,,,,,,
988,,,,,,,,,,
989,,,,,,,,,,
990,,,,,,,,,,
991,,,,,,,,,,
992,,,,,,,,,,
993,,,,,,,,,,
994,,,,,,,,,,
995,,,,,,,,,,
996,,,,,,,,,,
997,,,,,,,,,,
998,,,,,,,,,,
999,,,,,,,,,,
1000,,,,,,,,,11.0,36.95
1001,,,,,,,,,,
1002,,,,,,,,,,
1003,,,,,,,,,,
1004,,,,,,,,,,
1005,,,,,,,,,,
1006,,,,,,,,,,
1007,,,,,,,,,,
1008,,,,,,,,,7.0,211.2
1009,,,,,,,,,,
1010,,,,,,,,,,
1011,,,,,,,,,,
1012,,,,,,,,,,
1013,,,,,,,,,,
1014,,,,,,,,,,
1015,,,,,,,,,,
1016,,,,,,,,,8.0,13.1
1017,,,,,,,,,,
1018,,,,,,,,,,
1019,,,,,,,,,,
1020,,,,,,,,,,
1021,,,,,,,,,,
1022,,,,,,,301.0,74.95,311.0,151.17
1023,,,,,,,47.0,77.18,36.0,133.66
1024,,,,,,,17.0,67.45,17.0,145.63
1025,,,,,,,17.0,87.92,12.0,137.93
1026,,,,,,,12.0,74.29,8.0,111.98
1027,,,,,,,40.0,65.77,45.0,137.41
1028,,,,,,,,,,
1029,,,,,,,7.0,41.5,15.0,172.71
1030,,,,,,,,,,
1031,,,,,,,8.0,41.78,16.0,169.0
1032,,,,,,,,,,
1033,,,,,,,6.0,79.55,,
1034,,,,,,,,,,
1035,,,,,,,,,7.0,171.57
1036,,,,,,,,,,
1037,,,,,,,,,,
1038,,,,,,,9.0,132.24,,
1039,,,,,,,6.0,57.79,6.0,121.77
1040,,,,,,,66.0,82.13,60.0,139.13
1041,,,,,,,11.0,111.98,10.0,151.65
1042,,,,,,,12.0,53.27,17.0,170.8
1043,,,,,,,7.0,55.87,9.0,132.58
1044,,,,,,,17.0,82.06,9.0,85.34
1045,,,,,,,,,,
1046,,,,,,,5.0,58.58,7.0,154.27
1047,,,,,,,8.0,114.89,7.0,157.83
1048,,,,,,,54.0,80.24,64.0,173.71
1049,,,,,,,11.0,65.71,15.0,163.23
1050,,,,,,,17.0,82.28,15.0,140.02
1051,,,,,,,,,,
1052,,,,,,,11.0,83.73,17.0,211.56
1053,,,,,,,13.0,106.52,12.0,197.16
1054,,,,,,,51.0,67.44,68.0,165.22
1055,,,,,,,,,,
1056,,,,,,,18.0,88.53,17.0,158.59
1057,,,,,,,,,7.0,177.88
1058,,,,,,,9.0,53.58,12.0,147.18
1059,,,,,,,,,,
1060,,,,,,,,,,
1061,,,,,,,14.0,108.84,16.0,259.53
1062,,,,,,,5.0,101.9,,
1063,,,,,,,8.0,73.18,10.0,161.65
1064,,,,,,,,,,
1065,,,,,,,43.0,75.95,38.0,152.52
1066,,,,,,,12.0,83.41,12.0,182.99
1067,,,,,,,,,,
1068,,,,,,,6.0,94.64,,
1069,,,,,,,13.0,83.02,11.0,175.17
1070,,,,,,,9.0,54.49,12.0,163.78
1071,,,,,,,54.0,76.57,44.0,145.14
1072,,,,,,,57.0,68.73,63.0,139.45
1073,,,,,,,63.0,74.17,76.0,176.9
1074,,,,,,,70.0,82.17,57.0,130.03
1075,,,,,,,58.0,73.05,71.0,163.23
1076,,,,,,,9.0,58.24,13.0,155.55
1077,,,,,,,21.0,68.18,23.0,172.02
1078,,,,,,,,,,
1079,,,,,,,,,,
1080,,,,,,,5.0,41.14,13.0,181.86
1081,,,,,,,8.0,97.6,12.0,243.42
1082,,,,,,,16.0,88.44,14.0,150.89
1083,,,,,,,,,,
1084,,,,,,,6.0,80.77,,
1085,,,,,,,,,,
1086,,,,,,,6.0,93.55,,
1087,,,,,,,18.0,84.96,17.0,148.11
1088,,,,,,,6.0,86.96,9.0,248.82
1089,,,,,,,130.0,75.65,121.0,143.37
1090,,,,,,,8.0,72.18,10.0,177.4
1091,,,,,,,10.0,136.38,,
1092,,,,,,,,,,
1093,,,,,,,13.0,108.68,10.0,181.4
1094,,,,,,,37.0,59.86,51.0,146.95
1095,,,,,,,297.0,74.89,313.0,164.68
1096,,,,,,,42.0,72.15,27.0,115.68
1097,,,,,,,21.0,89.1,12.0,131.5
1098,,,,,,,9.0,50.8,9.0,125.78
1099,,,,,,,15.0,84.45,7.0,90.67
1100,,,,,,,42.0,67.52,57.0,184.19
1101,,,,,,,,,,
1102,,,,,,,10.0,59.53,16.0,194.97
1103,,,,,,,,,,
1104,,,,,,,10.0,55.76,17.0,191.7
1105,,,,,,,,,5.0,362.99
1106,,,,,,,5.0,66.13,5.0,121.01
1107,,,,,,,,,,
1108,,,,,,,5.0,64.63,7.0,180.01
1109,,,,,,,,,,
1110,,,,,,,,,,
1111,,,,,,,,,,
1112,,,,,,,9.0,88.68,11.0,204.13
1113,,,,,,,52.0,68.8,66.0,174.96
1114,,,,,,,7.0,76.25,11.0,212.05
1115,,,,,,,11.0,46.4,18.0,195.75
1116,,,,,,,8.0,70.36,15.0,224.08
1117,,,,,,,13.0,69.59,7.0,73.13
1118,,,,,,,,,,
1119,,,,,,,10.0,129.05,8.0,199.41
1120,,,,,,,,,7.0,179.45
1121,,,,,,,64.0,97.49,56.0,165.7
1122,,,,,,,13.0,76.2,20.0,233.91
1123,,,,,,,23.0,116.32,8.0,79.75
1124,,,,,,,,,,
1125,,,,,,,13.0,96.14,13.0,163.66
1126,,,,,,,14.0,115.71,10.0,178.35
1127,,,,,,,51.0,66.11,71.0,181.84
1128,,,,,,,,,,
1129,,,,,,,13.0,66.0,17.0,169.48
1130,,,,,,,,,8.0,198.22
1131,,,,,,,11.0,66.21,12.0,172.99
1132,,,,,,,,,,
1133,,,,,,,,,,
1134,,,,,,,10.0,76.33,14.0,221.75
1135,,,,,,,5.0,93.54,6.0,231.65
1136,,,,,,,6.0,52.45,13.0,242.98
1137,,,,,,,,,,
1138,,,,,,,46.0,79.63,36.0,142.81
1139,,,,,,,12.0,84.25,11.0,163.74
1140,,,,,,,,,,
1141,,,,,,,7.0,109.08,,
1142,,,,,,,9.0,55.77,8.0,120.49
1143,,,,,,,14.0,80.34,12.0,175.43
1144,,,,,,,53.0,74.61,41.0,133.81
1145,,,,,,,61.0,71.96,82.0,190.56
1146,,,,,,,53.0,63.23,72.0,186.35
1147,,,,,,,65.0,81.96,49.0,132.56
1148,,,,,,,65.0,83.84,68.0,169.06
1149,,,,,,,11.0,70.22,19.0,247.47
1150,,,,,,,24.0,76.55,22.0,173.8
1151,,,,,,,,,,
1152,,,,,,,,,,
1153,,,,,,,9.0,67.24,13.0,198.14
1154,,,,,,,10.0,118.43,9.0,187.68
1155,,,,,,,12.0,68.77,16.0,179.31
1156,,,,,,,,,,
1157,,,,,,,5.0,66.07,,
1158,,,,,,,,,,
1159,,,,,,,7.0,111.58,,
1160,,,,,,,24.0,115.03,8.0,73.61
1161,,,,,,,7.0,93.61,6.0,161.68
1162,,,,,,,114.0,68.94,117.0,156.22
1163,,,,,,,5.0,47.37,12.0,226.58
1164,,,,,,,,,,
1165,,,,,,,,,,
1166,,,,,,,13.0,117.21,11.0,208.59
1167,,,,,,,47.0,75.18,62.0,185.08
1168,,,,,,,301.0,76.64,280.0,153.62
1169,,,,,,,42.0,73.31,32.0,143.33
1170,,,,,,,13.0,57.51,15.0,174.17
1171,,,,,,,13.0,71.74,5.0,77.14
1172,,,,,,,16.0,92.77,12.0,160.26
1173,,,,,,,56.0,89.89,40.0,135.51
1174,,,,,,,,,,
1175,,,,,,,22.0,133.39,11.0,134.37
1176,,,,,,,,,,
1177,,,,,,,23.0,128.08,12.0,132.19
1178,,,,,,,,,,
1179,,,,,,,,,5.0,125.03
1180,,,,,,,,,,
1181,,,,,,,,,,
1182,,,,,,,5.0,120.91,,
1183,,,,,,,,,,
1184,,,,,,,6.0,78.29,7.0,238.27
1185,,,,,,,9.0,83.91,7.0,139.81
1186,,,,,,,64.0,86.0,61.0,168.54
1187,,,,,,,8.0,90.61,12.0,220.35
1188,,,,,,,19.0,80.88,6.0,74.07
1189,,,,,,,16.0,145.7,17.0,268.36
1190,,,,,,,13.0,66.63,12.0,132.17
1191,,,,,,,,,,
1192,,,,,,,8.0,101.69,6.0,153.51
1193,,,,,,,,,7.0,206.71
1194,,,,,,,53.0,81.46,57.0,175.53
1195,,,,,,,12.0,68.85,15.0,188.82
1196,,,,,,,12.0,62.17,15.0,150.13
1197,,,,,,,,,,
1198,,,,,,,16.0,117.14,16.0,220.18
1199,,,,,,,9.0,75.82,9.0,160.53
1200,,,,,,,45.0,58.66,57.0,151.6
1201,,,,,,,,,,
1202,,,,,,,13.0,66.43,14.0,150.49
1203,,,,,,,,,,
1204,,,,,,,12.0,77.56,9.0,135.07
1205,,,,,,,,,,
1206,,,,,,,,,,
1207,,,,,,,9.0,65.13,14.0,232.88
1208,,,,,,,,,5.0,202.18
1209,,,,,,,5.0,43.22,11.0,206.08
1210,,,,,,,,,,
1211,,,,,,,41.0,71.98,33.0,136.61
1212,,,,,,,10.0,73.0,9.0,135.39
1213,,,,,,,,,,
1214,,,,,,,,,5.0,169.13
1215,,,,,,,13.0,80.61,9.0,141.09
1216,,,,,,,15.0,85.33,9.0,138.58
1217,,,,,,,49.0,70.31,41.0,139.21
1218,,,,,,,77.0,90.89,61.0,148.08
1219,,,,,,,69.0,82.75,62.0,166.33
1220,,,,,,,62.0,79.8,56.0,156.52
1221,,,,,,,43.0,56.75,60.0,155.58
1222,,,,,,,11.0,71.15,14.0,192.33
1223,,,,,,,25.0,81.21,17.0,141.46
1224,,,,,,,,,,
1225,,,,,,,,,,
1226,,,,,,,19.0,143.56,8.0,134.52
1227,,,,,,,9.0,108.17,9.0,212.12
1228,,,,,,,13.0,70.78,13.0,156.78
1229,,,,,,,,,,
1230,,,,,,,,,,
1231,,,,,,,,,,
1232,,,,,,,,,5.0,167.62
1233,,,,,,,12.0,57.74,16.0,151.2
1234,,,,,,,,,9.0,261.02
1235,,,,,,,132.0,81.33,114.0,158.73
1236,,,,,,,,,10.0,201.86
1237,,,,,,,6.0,79.51,8.0,245.0
1238,,,,,,,,,,
1239,,,,,,,10.0,84.94,9.0,177.43
1240,,,,,,,38.0,60.5,38.0,119.25
1241,,,,,,,249.0,63.92,235.0,134.56
1242,,,,,,,41.0,72.4,22.0,103.35
1243,,,,,,,17.0,75.94,12.0,141.21
1244,,,,,,,12.0,65.14,6.0,85.67
1245,,,,,,,13.0,74.74,5.0,72.34
1246,,,,,,,39.0,62.47,42.0,149.11
1247,,,,,,,,,,
1248,,,,,,,13.0,76.68,6.0,81.44
1249,,,,,,,,,,
1250,,,,,,,14.0,76.13,7.0,80.86
1251,,,,,,,,,,
1252,,,,,,,,,11.0,290.56
1253,,,,,,,,,,
1254,,,,,,,6.0,77.45,5.0,132.58
1255,,,,,,,,,,
1256,,,,,,,,,,
1257,,,,,,,,,5.0,161.19
1258,,,,,,,6.0,55.55,6.0,118.13
1259,,,,,,,40.0,54.65,58.0,167.36
1260,,,,,,,7.0,83.49,6.0,115.0
1261,,,,,,,13.0,55.63,11.0,141.83
1262,,,,,,,7.0,65.74,9.0,150.31
1263,,,,,,,6.0,29.91,15.0,172.76
1264,,,,,,,,,,
1265,,,,,,,5.0,70.45,10.0,279.81
1266,,,,,,,,,,
1267,,,,,,,45.0,69.39,38.0,122.06
1268,,,,,,,14.0,86.21,14.0,181.73
1269,,,,,,,10.0,50.8,7.0,75.38
1270,,,,,,,,,,
1271,,,,,,,12.0,89.84,9.0,122.81
1272,,,,,,,5.0,43.57,,
1273,,,,,,,57.0,74.56,43.0,119.11
1274,,,,,,,,,,
1275,,,,,,,17.0,83.98,15.0,164.73
1276,,,,,,,5.0,90.13,,
1277,,,,,,,10.0,65.7,9.0,132.63
1278,,,,,,,,,,
1279,,,,,,,,,,
1280,,,,,,,14.0,106.6,12.0,225.86
1281,,,,,,,,,,
1282,,,,,,,6.0,58.99,,
1283,,,,,,,,,,
1284,,,,,,,27.0,48.23,32.0,137.36
1285,,,,,,,9.0,63.14,7.0,109.93
1286,,,,,,,,,,
1287,,,,,,,,,,
1288,,,,,,,6.0,38.09,11.0,180.47
1289,,,,,,,9.0,55.69,8.0,128.95
1290,,,,,,,38.0,54.98,37.0,129.54
1291,,,,,,,56.0,65.54,59.0,150.27
1292,,,,,,,60.0,73.11,52.0,146.16
1293,,,,,,,48.0,62.04,50.0,145.59
1294,,,,,,,47.0,62.22,38.0,100.88
1295,,,,,,,14.0,90.97,14.0,197.61
1296,,,,,,,17.0,58.39,14.0,120.95
1297,,,,,,,,,,
1298,,,,,,,,,,
1299,,,,,,,10.0,79.51,5.0,81.28
1300,,,,,,,9.0,107.26,,
1301,,,,,,,15.0,83.43,13.0,165.23
1302,,,,,,,,,,
1303,,,,,,,,,10.0,295.55
1304,,,,,,,,,,
1305,,,,,,,,,,
1306,,,,,,,10.0,48.48,8.0,78.08
1307,,,,,,,7.0,91.79,6.0,186.22
1308,,,,,,,101.0,63.36,99.0,143.88
1309,,,,,,,6.0,60.41,,
1310,,,,,,,,,5.0,162.09
1311,,,,,,,,,,
1312,,,,,,,5.0,45.62,,
1313,,,,,,,40.0,64.44,35.0,113.48
1314,,,,,5.0,1.05,270.0,69.95,281.0,167.56
1315,,,,,,,29.0,51.94,24.0,118.03
1316,,,,,,,10.0,45.97,16.0,193.33
1317,,,,,,,6.0,35.34,,
1318,,,,,,,14.0,79.21,5.0,76.94
1319,,,,,,,46.0,73.75,46.0,170.83
1320,,,,,,,,,,
1321,,,,,,,8.0,48.22,13.0,184.96
1322,,,,,,,,,,
1323,,,,,,,9.0,51.01,15.0,187.94
1324,,,,,,,,,,
1325,,,,,,,6.0,75.78,8.0,223.8
1326,,,,,,,,,,
1327,,,,,,,8.0,96.46,7.0,209.98
1328,,,,,,,,,,
1329,,,,,,,,,,
1330,,,,,,,9.0,131.03,5.0,174.52
1331,,,,,,,9.0,83.45,6.0,127.16
1332,,,,,,,48.0,66.47,59.0,177.1
1333,,,,,,,,,10.0,192.22
1334,,,,,,,13.0,60.2,11.0,149.83
1335,,,,,,,15.0,140.99,13.0,208.27
1336,,,,,,,13.0,71.42,12.0,141.38
1337,,,,,,,,,,
1338,,,,,,,,,,
1339,,,,,,,,,11.0,330.27
1340,,,,,,,59.0,91.37,50.0,167.12
1341,,,,,,,18.0,106.05,12.0,163.89
1342,,,,,,,15.0,79.34,14.0,148.94
1343,,,,,,,,,,
1344,,,,,,,13.0,90.86,14.0,199.21
1345,,,,,,,11.0,88.93,9.0,174.19
1346,,,,,,,56.0,73.57,61.0,175.77
1347,,,,,,,,,,
1348,,,,,,,17.0,85.58,16.0,176.14
1349,,,,,,,6.0,104.24,,
1350,,,,,,,9.0,57.8,6.0,88.24
1351,,,,,,,,,,
1352,,,,,,,,,,
1353,,,,,,,6.0,45.77,12.0,221.91
1354,,,,,,,6.0,107.55,,
1355,,,,,,,8.0,73.43,13.0,273.41
1356,,,,,,,,,,
1357,,,,,,,32.0,58.3,41.0,182.22
1358,,,,,,,8.0,61.89,10.0,171.23
1359,,,,,,,,,,
1360,,,,,,,,,,
1361,,,,,,,8.0,51.32,14.0,236.74
1362,,,,,,,11.0,67.91,11.0,185.82
1363,,,,,,,40.0,59.11,46.0,168.88
1364,,,,,,,66.0,77.27,68.0,179.88
1365,,,,,,,54.0,66.14,56.0,165.69
1366,,,,,,,38.0,49.41,48.0,146.26
1367,,,,,,,73.0,96.28,63.0,174.84
1368,,,,,,,17.0,109.87,12.0,179.66
1369,,,,,,,18.0,63.16,20.0,175.76
1370,,,,,,,,,,
1371,,,,,,,,,,
1372,,,,,,,5.0,42.41,11.0,184.83
1373,,,,,,,,,9.0,215.0
1374,,,,,,,15.0,85.84,13.0,166.89
1375,,,,,,,,,,
1376,,,,,,,5.0,75.2,8.0,227.7
1377,,,,,,,,,,
1378,,,,,,,,,,
1379,,,,,,,17.0,83.09,14.0,141.29
1380,,,,,,,,,10.0,328.84
1381,,,,,,,89.0,56.61,103.0,156.36
1382,,,,,,,7.0,66.83,13.0,291.37
1383,,,,,,,10.0,133.36,5.0,173.24
1384,,,,,,,,,,
1385,,,,,,,10.0,89.93,7.0,161.48
1386,,,,,,,57.0,90.9,49.0,164.61
1387,,,,,5.0,1.07,300.0,78.4,293.0,184.03
1388,,,,,,,42.0,76.48,31.0,160.5
1389,,,,,,,18.0,84.91,13.0,164.16
1390,,,,,,,10.0,59.74,9.0,154.33
1391,,,,,,,15.0,85.98,11.0,169.43
1392,,,,,,,48.0,76.8,55.0,216.83
1393,,,,,,,,,,
1394,,,,,,,12.0,71.83,14.0,198.2
1395,,,,,,,,,,
1396,,,,,,,13.0,71.37,15.0,202.8
1397,,,,,,,,,,
1398,,,,,,,5.0,62.4,7.0,211.96
1399,,,,,,,,,,
1400,,,,,,,5.0,65.76,8.0,283.06
1401,,,,,,,,,,
1402,,,,,,,,,,
1403,,,,,,,6.0,79.55,,
1404,,,,,,,9.0,86.63,9.0,203.63
1405,,,,,,,54.0,75.57,55.0,172.79
1406,,,,,,,7.0,81.13,15.0,304.72
1407,,,,,,,14.0,63.25,6.0,92.19
1408,,,,,,,10.0,90.41,10.0,172.95
1409,,,,,,,14.0,75.71,10.0,123.07
1410,,,,,,,,,,
1411,,,,,,,8.0,100.57,10.0,275.59
1412,,,,,,,5.0,98.85,8.0,238.52
1413,,,,,,,62.0,96.42,59.0,206.99
1414,,,,,,,17.0,106.39,16.0,222.91
1415,,,,,,,16.0,82.15,13.0,152.47
1416,,,,,,,,,,
1417,,,,,,,14.0,99.42,19.0,288.18
1418,,,,,,,12.0,97.35,5.0,100.65
1419,,,,,,,58.0,76.82,51.0,155.77
1420,,,,,,,,,,
1421,,,,,,,16.0,79.66,16.0,188.95
1422,,,,,,,5.0,73.94,,
1423,,,,,,,10.0,71.46,11.0,185.11
1424,,,,,,,,,,
1425,,,,,,,,,,
1426,,,,,,,5.0,40.27,7.0,155.97
1427,,,,,,,,,,
1428,,,,,,,10.0,97.11,6.0,132.54
1429,,,,,,,5.0,159.48,,
1430,,,,,,,36.0,66.71,42.0,195.73
1431,,,,,,,7.0,56.26,12.0,207.54
1432,,,,,,,,,,
1433,,,,,,,,,6.0,230.83
1434,,,,,,,15.0,97.03,10.0,178.3
1435,,,,,,,7.0,42.31,11.0,197.17
1436,,,,,,,44.0,66.27,50.0,193.48
1437,,,,,,,65.0,76.04,73.0,205.49
1438,,,,,,,57.0,70.57,50.0,158.49
1439,,,,,,,60.0,79.92,59.0,187.96
1440,,,,,,,74.0,98.83,60.0,174.67
1441,,,,,,,16.0,105.24,15.0,233.84
1442,,,,,,,13.0,45.38,22.0,202.63
1443,,,,,,,,,,
1444,,,,,,,,,,
1445,,,,,,,9.0,71.04,11.0,195.72
1446,,,,,,,10.0,106.1,6.0,153.67
1447,,,,,,,14.0,76.43,14.0,188.68
1448,,,,,,,5.0,167.9,,
1449,,,,,,,,,7.0,205.73
1450,,,,,,,,,,
1451,,,,,,,,,6.0,230.93
1452,,,,,,,17.0,83.52,15.0,158.77
1453,,,,,,,,,6.0,217.94
1454,,,,,,,118.0,75.82,105.0,167.59
1455,,,,,,,9.0,99.59,6.0,128.75
1456,,,,,,,6.0,80.09,,
1457,,,,,,,,,5.0,466.38
1458,,,,,,,11.0,98.11,,
1459,,,,,,,55.0,87.26,61.0,217.51
1460,,,,,8.0,1.74,372.0,98.58,339.0,219.31
1461,,,,,,,46.0,85.32,39.0,209.13
1462,,,,,,,22.0,103.97,18.0,240.56
1463,,,,,,,10.0,58.34,13.0,234.57
1464,,,,,,,17.0,96.51,9.0,141.82
1465,,,,,,,83.0,133.51,55.0,224.8
1466,,,,,,,,,,
1467,,,,,,,23.0,140.31,13.0,201.95
1468,,,,,,,,,,
1469,,,,,,,26.0,144.38,15.0,209.51
1470,,,,,,,,,,
1471,,,,,,,10.0,134.07,7.0,196.65
1472,,,,,,,,,,
1473,,,,,,,14.0,171.25,9.0,330.12
1474,,,,,,,,,,
1475,,,,,,,,,,
1476,,,,,,,,,,
1477,,,,,,,14.0,135.99,8.0,182.65
1478,,,,,,,78.0,110.96,80.0,258.06
1479,,,,,,,9.0,105.32,12.0,251.06
1480,,,,,,,23.0,107.17,19.0,291.38
1481,,,,,,,14.0,134.41,13.0,224.24
1482,,,,,,,21.0,119.98,17.0,207.9
1483,,,,,,,,,,
1484,,,,,,,10.0,129.81,10.0,306.21
1485,,,,,,,,,8.0,231.86
1486,,,,,,,52.0,81.53,53.0,191.7
1487,,,,,,,12.0,72.41,17.0,244.6
1488,,,,,,,18.0,93.43,11.0,125.76
1489,,,,,,,,,,
1490,,,,,,,12.0,82.88,16.0,252.81
1491,,,,,,,8.0,70.22,6.0,120.39
1492,,,,,,,66.0,88.42,65.0,204.18
1493,,,,,,,,,,
1494,,,,,,,9.0,43.71,15.0,185.76
1495,,,,,,,,,7.0,195.92
1496,,,,,,,15.0,107.11,9.0,157.93
1497,,,,,,,,,,
1498,,,,,,,,,,
1499,,,,,,,13.0,96.57,14.0,294.44
1500,,,,,,,9.0,157.81,7.0,372.51
1501,,,,,,,9.0,88.43,8.0,172.97
1502,,,,,,,,,5.0,294.77
1503,,,,,,,47.0,89.39,47.0,223.99
1504,,,,,,,11.0,82.37,13.0,219.78
1505,,,,,,,5.0,211.24,7.0,448.14
1506,,,,,,,,,,
1507,,,,,,,13.0,85.28,10.0,183.03
1508,,,,,,,16.0,105.88,16.0,307.1
1509,,,,,,,56.0,85.77,55.0,216.68
1510,,,,,,,113.0,132.69,84.0,242.6
1511,,,,,,,69.0,86.72,69.0,226.9
1512,,,,,,,77.0,104.37,69.0,224.22
1513,,,,,,,57.0,77.66,63.0,186.17
1514,,,,,,,11.0,73.54,17.0,274.57
1515,,,,,,,25.0,92.97,28.0,271.12
1516,,,,,,,5.0,211.24,7.0,448.14
1517,,,,,,,,,,
1518,,,,,,,17.0,130.99,10.0,190.27
1519,,,,,,,8.0,93.89,7.0,211.2
1520,,,,,,,8.0,45.53,13.0,189.81
1521,,,,,,,6.0,203.87,,
1522,,,,,,,10.0,131.42,6.0,197.09
1523,,,,,,,,,,
1524,,,,,,,,,,
1525,,,,,,,19.0,94.54,11.0,119.45
1526,,,,,,,7.0,91.72,7.0,267.89
1527,,,,,,,153.0,99.93,138.0,225.2
1528,,,,,,,8.0,86.92,8.0,178.52
1529,,,,,,,,,,
1530,,,,,,,,,,
1531,,,,,,,7.0,68.56,5.0,118.07
1532,,,,,,,80.0,126.84,66.0,242.45
1533,,,,,,,,,,
1534,,,,,,,,,,
1535,,,,,,,,,,
1536,,,,,,,,,,
1537,,,,,,,,,,
1538,,,,,,,,,,
1539,,,,,,,,,,
1540,,,,,,,,,,
1541,,,,,,,,,,
1542,,,,,,,,,,
1543,,,,,,,,,,
1544,,,,,,,,,,
1545,,,,,,,,,,
1546,,,,,,,,,,
1547,,,,,,,,,,
1548,,,,,,,,,,
1549,,,,,,,,,,
1550,,,,,,,,,,
1551,,,,,,,,,,
1552,,,,,,,,,,
1553,,,,,,,,,,
1554,,,,,,,,,,
1555,,,,,,,,,,
1556,,,,,,,,,,
1557,,,,,,,,,,
1558,,,,,,,,,,
1559,,,,,,,,,,
1560,,,,,,,,,,
1561,,,,,,,,,,
1562,,,,,,,,,,
1563,,,,,,,,,,
1564,,,,,,,,,,
1565,,,,,,,,,,
1566,,,,,,,,,,
1567,,,,,,,,,,
1568,,,,,,,,,,
1569,,,,,,,,,,
1570,,,,,,,,,,
1571,,,,,,,,,,
1572,,,,,,,,,,
1573,,,,,,,,,,
1574,,,,,,,,,,
1575,,,,,,,,,,
1576,,,,,,,,,,
1577,,,,,,,,,,
1578,,,,,,,,,,
1579,,,,,,,,,,
1580,,,,,,,,,,
1581,,,,,,,,,,
1582,,,,,,,,,,
1583,,,,,,,,,,
1584,,,,,,,,,,
1585,,,,,,,,,,
1586,,,,,,,,,,
1587,,,,,,,,,,
1588,,,,,,,,,,
1589,,,,,,,,,,
1590,,,,,,,,,,
1591,,,,,,,,,,
1592,,,,,,,,,,
1593,,,,,,,,,,
1594,,,,,,,,,,
1595,,,,,,,,,,
1596,,,,,,,,,,
1597,,,,,,,,,,
1598,,,,,,,,,,
1599,,,,,,,,,,
1600,,,,,,,,,,
1601,,,,,,,,,,
1602,,,,,,,,,,
1603,,,,,,,,,,
1604,,,,,,,,,,
1605,,,,,,,,,,
1606,,,,,,,,,,
1607,,,,,,,,,,
1608,,,,,,,,,,
1609,,,,,,,,,,
1610,,,,,,,,,,
1611,,,,,,,,,,
1612,,,,,,,,,,
1613,,,,,,,,,,
1614,,,,,,,,,,
1615,,,,,,,,,,
1616,,,,,,,,,,
1617,,,,,,,,,,
1618,,,,,,,,,,
1619,,,,,,,,,,
1620,,,,,,,,,,
1621,,,,,,,,,,
1622,,,,,,,,,,
1623,,,,,,,,,,
1624,,,,,,,,,,
1625,,,,,,,,,,
1626,,,,,,,,,,
1627,,,,,,,,,,
1628,,,,,,,,,,
1629,,,,,,,,,,
1630,,,,,,,,,,
1631,,,,,,,,,,
1632,,,,,,,,,,
1633,,,,,,,,,,
1634,,,,,,,,,,
1635,,,,,,,,,,
1636,,,,,,,,,,
1637,,,,,,,,,,
1638,,,,,,,,,,
1639,,,,,,,,,,
1640,,,,,,,,,,
1641,,,,,,,,,,
1642,,,,,,,,,,
1643,,,,,,,,,,
1644,,,,,,,,,,
